match_id,match_number,date,start_time,player_id_of_the_match,toss_winner,toss_selection,venue_id,venue_name,Team1,Team2,Score1,Score2,winner_team
643,Match 18,10/16/2018,21:00,2357.0,3,Choice of court :Right,14,"Motilal Nehru School of Sports, Rai, Sonepat",Jaipur Pink Panthers,Haryana Steelers,33,36,Haryana Steelers
644,Match 19,10/17/2018,20:00,318.0,29,Choice of court :Right,14,"Motilal Nehru School of Sports, Rai, Sonepat",Tamil Thalaivas,Bengaluru Bulls,44,35,Tamil Thalaivas
645,Match 20,10/17/2018,21:00,2026.0,28,Choice of court :Left,14,"Motilal Nehru School of Sports, Rai, Sonepat",Haryana Steelers,U Mumba,32,42,U Mumba
646,Match 21,10/18/2018,20:00,366.0,2,Choice of court :Right,14,"Motilal Nehru School of Sports, Rai, Sonepat",Dabang Delhi K.C.,Haryana Steelers,34,31,Dabang Delhi K.C.
647,Match 22,10/18/2018,21:00,757.0,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,Gujarat Fortunegiants,28,34,Gujarat Fortunegiants
648,Match 23,10/19/2018,20:00,81.0,8,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans,Patna Pirates,31,35,Patna Pirates
649,Match 24,10/19/2018,21:00,795.0,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,Jaipur Pink Panthers,29,25,Puneri Paltan
65,Match 4,7/19/2015,21:00,105.0,1,Choice of court :Left,5,"National Sports Club of India, Mumbai",Bengaluru Bulls,U Mumba,36,23,Bengaluru Bulls
651,Match 26,10/20/2018,21:00,2026.0,5,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba,Puneri Paltan,33,32,U Mumba
652,Match 27,10/21/2018,20:00,2296.0,2,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Dabang Delhi K.C.,Bengal Warriors,39,30,Dabang Delhi K.C.
653,Match 28,10/21/2018,21:00,365.0,1,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls,Puneri Paltan,27,25,Bengaluru Bulls
654,Match 29,10/23/2018,20:00,2026.0,5,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba,Telugu Titans,41,20,U Mumba
655,Match 30,10/23/2018,21:00,26.0,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,Tamil Thalaivas,31,36,Tamil Thalaivas
656,Match 31,10/24/2018,20:00,318.0,28,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Haryana Steelers,Bengaluru Bulls,42,34,Haryana Steelers
657,Match 32,10/24/2018,21:00,155.0,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,U.P. Yoddha,23,29,U.P. Yoddha
658,Match 33,10/26/2018,20:00,197.0,3,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Jaipur Pink Panthers,Patna Pirates,41,30,Jaipur Pink Panthers
659,Match 34,10/26/2018,21:00,757.0,29,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Tamil Thalaivas,Gujarat Fortunegiants,36,25,Tamil Thalaivas
66,Match 5,7/20/2015,20:00,81.0,7,Choice of court :Right,5,"National Sports Club of India, Mumbai",Puneri Paltan,Telugu Titans,24,45,Telugu Titans
660,Match 35,10/27/2018,20:00,66.0,4,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Bengal Warriors,Jaipur Pink Panthers,28,39,Jaipur Pink Panthers
661,Match 36,10/27/2018,21:00,197.0,5,Choice of court :Left,6,"Patliputra Sports Complex, Patna",U Mumba,Patna Pirates,39,40,Patna Pirates
662,Match 37,10/28/2018,20:00,106.0,30,Choice of court :Left,6,"Patliputra Sports Complex, Patna",U.P. Yoddha,Dabang Delhi K.C.,36,38,Dabang Delhi K.C.
663,Match 38,10/28/2018,21:00,366.0,28,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Haryana Steelers,Patna Pirates,32,43,Patna Pirates
664,Match 39,10/30/2018,20:00,757.0,7,Choice of court :Right,6,"Patliputra Sports Complex, Patna",Puneri Paltan,Gujarat Fortunegiants,27,37,Gujarat Fortunegiants
665,Match 40,10/30/2018,21:00,81.0,8,Choice of court :Right,6,"Patliputra Sports Complex, Patna",Telugu Titans,Patna Pirates,32,53,Patna Pirates
666,Match 41,10/31/2018,20:00,2296.0,7,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Puneri Paltan,Dabang Delhi K.C.,27,31,Dabang Delhi K.C.
667,Match 42,10/31/2018,21:00,318.0,1,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Bengaluru Bulls,Patna Pirates,41,43,Patna Pirates
668,Match 43,11-01-2018,20:00,211.0,4,Choice of court :Left,6,"Patliputra Sports Complex, Patna",Bengal Warriors,Patna Pirates,29,27,Bengal Warriors
669,Match 44,11-02-2018,20:00,111.0,29,Choice of court :Right,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Tamil Thalaivas,U.P. Yoddha,24,46,U.P. Yoddha
67,Match 6,7/20/2015,21:00,29.0,6,Choice of court :Left,5,"National Sports Club of India, Mumbai",Patna Pirates,U Mumba,25,20,Patna Pirates
670,Match 45,11-02-2018,21:00,686.0,31,Choice of court :Right,23,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Gujarat Fortunegiants,Jaipur Pink Panthers,25,36,Jaipur Pink Panthers
